purchase_month,orders,revenue,customers
2016-09,1,143.46,1
2016-10,265,46566.71,262
2016-12,1,19.62,1
2017-01,750,127545.67,718
2017-02,1653,271298.65,1630
2017-03,2546,414369.39,2508
2017-04,2303,390952.18,2274
2017-05,3546,567066.73,3479
2017-06,3135,490225.6,3076
2017-07,3872,566403.93,3802
2017-08,4193,646000.61,4114
2017-09,4150,701169.99,4083
2017-10,4478,751140.27,4417
2017-11,7289,1153528.05,7183
2017-12,5513,843199.17,5450
2018-01,7069,1078606.86,6974
2018-02,6555,966510.88,6400
2018-03,7003,1120678.0,6914
2018-04,6798,1132933.95,6744
2018-05,6749,1128836.69,6693
2018-06,6099,1012090.68,6061
2018-07,6159,1027903.86,6100
2018-08,6351,985414.28,6310
